使用区队	申请日期	出库明细									
使用区队	申请日期	物料类型	物料编码	物料名称	规格型号	单位	出库数量	单价	金额	单位	工程名称
综机机加工车间	2025-08-11	材料	391909030000009	机用丝锥	m27×1.5mm（高碳钢）	支	15.00	43.70	655.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391909030000033	机用丝锥	5mm	支	10.00	12.40	124.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391909030000037	机用丝锥	14mm	支	10.00	42.80	428.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391909010000044	机用丝锥	初 M3-H4 GB/T3464.1-2007	支	10.00	12.00	120.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391909030000008	机用丝锥	m24×1.5mm（高碳钢）	支	15.00	41.30	619.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391909030000034	机用丝锥	6mm	支	10.00	16.20	162.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391909030000012	机用丝锥	m30×2mm（高碳钢）	支	15.00	62.90	943.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391909030000041	机用丝锥	4mm	支	10.00	12.40	124.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391909030000002	机用丝锥	m12×1.25mm（高碳钢）	支	10.00	7.60	76.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391909030000035	机用丝锥	8mm	支	10.00	21.90	219.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391909030000007	机用丝锥	m22×1.5mm（高碳钢）	支	15.00	25.70	385.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391909030000004	机用丝锥	m16×1.5mm（高碳钢）	支	10.00	9.20	92.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391909030000038	机用丝锥	20mm	支	10.00	38.00	380.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391909030000006	机用丝锥	m18×1.5mm（高碳钢）	支	10.00	15.00	150.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	620147070770020	中间套	/	件	25.00	45.60	1140.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	214903030000008	莫氏钻套	1#-2#	个	5.00	19.00	95.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	670313030000122	钻套	DXZJ-3	件	5.00	71.30	356.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	670313030000123	钻套	DXZJ-4	件	5.00	130.00	650.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	531313030000023	钻套	ZQS-65-01	件	5.00	80.80	404.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	531321030000029	钻套	18方	件	5.00	252.00	1260.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	531321030000030	钻套	TRZJ140-4.1	件	5.00	110.00	550.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	214903030000010	莫氏钻套	3#-4#	个	5.00	38.00	190.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	214903030000009	莫氏钻套	2#-3#	个	5.00	28.50	142.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	214903030000007	钻套	外莫氏6内莫氏3	个	5.00	85.00	425.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	531513130000005	钻套	/	个	5.00	52.30	261.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	214903030000011	莫氏钻套	4#-5#	个	5.00	52.30	261.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390125030000001	半元锉	200mm（高碳钢）	把	8.00	4.12	32.96	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390125030000003	半元锉	300mm（高碳钢）	把	10.00	8.90	89.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390125030000002	半元锉	250mm（高碳钢）	把	10.00	6.90	69.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390125030000001	半元锉	200mm（高碳钢）	把	10.00	4.00	40.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390125010000141	圆锉	Q-06P-300-1	把	10.00	32.30	323.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390125010000055	圆锉	250/352mm粗、中细	套	10.00	28.50	285.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390125010000027	三角锉	300mm	把	10.00	32.30	323.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390125010000026	三角锉	250mm	把	10.00	28.50	285.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390125010000025	三角锉	200mm	把	8.00	22.80	182.40	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390125030000013	三角锉	200mm（高碳钢）	把	10.00	3.73	37.30	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390125010000119	扁平锉	Q-01-300-Ⅰ	件	10.00	32.30	323.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390125010000098	锉刀	/	把	10.00	22.80	228.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390125010000024	圆锉刀	200mm	把	10.00	22.80	228.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390125010000099	锉刀	/	把	10.00	28.50	285.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	392501050000069	夹头	130×40×14.5mm	个	2.00	931.00	1862.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	770301070000044	夹头	/	件	10.00	87.00	870.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901010000176	直柄麻花钻头	Φ10mm	支	100.00	10.50	1050.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901010000185	直柄麻花钻头	Φ18(GB/T6135.2-2008)	件	100.00	65.60	6560.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901010000295	直柄麻花钻头	6mm	个	100.00	3.80	380.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901010000183	直柄麻花钻头	Φ14(GB/T6135.2-2008)	件	100.00	23.80	2380.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901010000293	直柄麻花钻头	4mm	个	100.00	2.90	290.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901010000184	直柄麻花钻头	Φ16(GB/T6135.2-2008)	件	100.00	25.70	2570.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901010000178	直柄麻花钻头	Φ12mm	支	100.00	17.10	1710.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901010000365	麻花钻头	8mm	个	100.00	7.60	760.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000166	锥柄钻头	Φ45.0mm	支	10.00	369.30	3693.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000049	锥柄钻头	Φ18.0mm	支	15.00	36.46	546.90	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000196	锥柄钻头	Φ68.0mm	支	20.00	1975.15	39503.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000095	锥柄钻头	Φ26.0mm	支	15.00	79.66	1194.90	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000043	锥柄钻头	Φ17.0mm	支	15.00	26.90	403.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000015	锥柄钻头	Φ13.0mm	支	15.00	10.89	163.35	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000174	锥柄钻头	Φ48.0mm	支	10.00	397.85	3978.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000107	锥柄钻头	Φ28.0mm	支	15.00	162.39	2435.85	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000183	锥柄钻头	Φ53.0mm	支	10.00	478.87	4788.70	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000179	锥柄钻头	Φ50.0mm	支	10.00	465.32	4653.20	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000111	锥柄钻头	Φ29.0mm	支	15.00	162.39	2435.85	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000068	锥柄钻头	Φ21.0mm	支	15.00	63.09	946.35	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000184	锥柄钻头	Φ54.0mm	支	10.00	520.23	5202.30	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000197	锥柄钻头	Φ70.0mm	支	20.00	1975.15	39503.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000124	锥柄钻头	Φ33.0mm	支	15.00	287.34	4310.10	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000092	锥柄钻头	Φ25.0mm	支	15.00	79.37	1190.55	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000132	锥柄钻头	Φ35.0mm	支	15.00	287.34	4310.10	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000191	锥柄钻头	Φ61.0mm	支	10.00	812.25	8122.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000168	锥柄钻头	Φ46.0mm	支	10.00	369.30	3693.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000188	锥柄钻头	Φ58.0mm	支	10.00	692.75	6927.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000156	锥柄钻头	Φ41.0mm	支	10.00	369.30	3693.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000120	锥柄钻头	Φ32.0mm	支	15.00	217.66	3264.90	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000116	锥柄钻头	Φ30.0mm	支	15.00	217.66	3264.90	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000103	锥柄钻头	Φ27.0mm	支	15.00	79.36	1190.40	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000185	锥柄钻头	Φ55.0mm	支	10.00	520.23	5202.30	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000023	锥柄钻头	Φ14.0mm	支	15.00	26.92	403.80	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000085	锥柄钻头	Φ24.0mm	支	15.00	63.09	946.35	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000193	锥柄钻头	Φ63mm	支	10.00	812.25	8122.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000160	锥柄钻头	Φ43.0mm	支	10.00	369.30	3693.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000187	锥柄钻头	Φ57.0mm	支	10.00	692.75	6927.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000137	锥柄钻头	Φ36.0mm	支	15.00	357.49	5362.35	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000180	锥柄钻头	Φ51.0mm	支	10.00	465.32	4653.20	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000144	锥柄钻头	Φ37.0mm	支	15.00	357.49	5362.35	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000194	锥柄钻头	Φ64.0mm	支	10.00	867.50	8675.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000074	锥柄钻头	Φ22.0mm	支	50.00	39.96	1998.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000177	锥柄钻头	Φ49.0mm	支	10.00	465.32	4653.20	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000172	锥柄钻头	Φ47.0mm	支	10.00	397.85	3978.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000079	锥柄钻头	Φ23.0mm	支	15.00	63.09	946.35	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000192	锥柄钻头	Φ62.0mm	支	10.00	812.25	8122.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000190	锥柄钻头	Φ60.0mm	支	10.00	692.75	6927.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000198	锥柄钻头	Φ72.0mm	支	30.00	2184.20	65526.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000118	锥柄钻头	Φ31.0mm	支	15.00	217.66	3264.90	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000053	锥柄钻头	Φ19.0mm	支	15.00	63.10	946.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000074	锥柄钻头	Φ22.0mm	支	15.00	63.09	946.35	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000181	锥柄钻头	Φ52.0mm	支	10.00	465.32	4653.20	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000199	锥柄钻头	Φ75.0mm	支	30.00	2206.41	66192.30	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000061	锥柄钻头	Φ20.0mm	支	15.00	63.09	946.35	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000030	锥柄钻头	Φ15.0mm	支	15.00	26.90	403.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000127	锥柄钻头	Φ34.0mm	支	15.00	287.34	4310.10	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000038	锥柄钻头	Φ16.0mm	支	15.00	26.90	403.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000200	锥柄钻头	Φ80.0mm	支	30.00	2602.31	78069.30	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000195	锥柄钻头	Φ65.0mm	支	30.00	2184.20	65526.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000149	锥柄钻头	Φ38.0mm	支	15.00	357.49	5362.35	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000154	锥柄钻头	Φ40.0mm	支	15.00	369.30	5539.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000158	锥柄钻头	Φ42.0mm	支	10.00	369.30	3693.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000162	锥柄钻头	Φ44.0mm	支	10.00	369.30	3693.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000189	锥柄钻头	Φ59.0mm	支	10.00	692.75	6927.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000186	锥柄钻头	Φ56.0mm	支	10.00	692.75	6927.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901030000152	锥柄钻头	Φ39.0mm	支	15.00	357.49	5362.35	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391901010000327	钻头	/	个	200.00	41.85	8370.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390101090000139	内六角扳手	英制12件套	套	10.00	71.30	713.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390101110000017	12.5mm系列套筒扳手	26件套	套	8.00	178.40	1427.20	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390309050000005	电动扳手锂电池	21V-8.0Ah	块	5.00	287.80	1439.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	210545990000066	电源转换器（多用插座）	10A12孔	只	10.00	14.80	148.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	210911330000030	电笔	62601	个	20.00	28.90	578.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	210947110000003	钳形电流表	305	块	10.00	1015.20	10152.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	210911350000003	兆欧表	ZC25B-4	块	5.00	184.30	921.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391701030000010	电缆剪	10寸	个	10.00	142.50	1425.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	210911330000015	高压验电笔	10KV	个	5.00	129.00	645.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	213117030000002	高压验电笔	10KV	支	5.00	129.96	649.80	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390121010000128	美工刀片	1×10	盒	20.00	8.80	176.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390101030000064	梅花扳手	10件	套	5.00	110.80	554.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	210911350000004	兆欧表	ZC-7/5000V	块	8.00	660.70	5285.60	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390121010000120	美工刀	YT-5801	把	20.00	4.80	96.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	392301070000015	机械游标卡尺	0-200mm	把	5.00	285.00	1425.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	392301070000012	游标卡尺	500×0.02（45#钢）	把	5.00	132.40	662.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	390301010000016	角磨机	Φ 100mm-18V	个	5.00	261.00	1305.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391903050000007	直齿三面刃铣刀	Ф110×12	件	70.00	148.93	10425.10	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391903990000032	圆柱形铣刀	80×80mm	把	10.00	560.50	5605.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391903990000033	圆柱形铣刀	80×100mm	把	5.00	406.60	2033.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391999000000005	刀盘	ZMA125*40*75度	件	5.00	280.30	1401.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391903990000070	铣刀片	YW2/3130511	件	100.00	18.10	1810.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391903990000024	可转位面铣刀	80mm	把	5.00	280.30	1401.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391903030000086	铣刀	DJ02-09	支	2.00	2812.00	5624.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391905990000031	数控车刀刀杆	SER2525M16	把	20.00	64.60	1292.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391905990000025	数控车刀刀杆	MCLNR2525M12	把	20.00	66.50	1330.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391905050000114	数控刀片	CCMT120404-HM	片	200.00	23.00	4600.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391903990000077	数控刀片	MGMN400-M	片	200.00	29.00	5800.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391903990000075	数控刀片	YBC251/CCMT09T304-HM	片	200.00	19.00	3800.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391905030000195	外螺纹车刀	16ERAG60	片	600.00	29.67	17802.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	391905050000101	外螺纹车刀	/	件	20.00	64.60	1292.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	214903990000004	回转顶尖	D41×MT5	个	5.00	256.50	1282.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	214903990000003	回转顶尖	D41×MT4	个	5.00	180.50	902.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	214903010000005	回转顶尖	MT5-C	件	5.00	161.50	807.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-11	材料	214903050000025	手动自定心卡盘（三爪卡盘）	K11400C/D11	个	2.00	3895.00	7790.00	开掘	﹢810m运输大巷
掘进一队	2025-08-11	材料	390101130000003	扭力扳手	280-760预调试把距范围	把	1.00	623.29	623.29	开掘	﹢810m运输大巷
掘进一队	2025-08-11	材料	213313170000004	手板锯	优质合金钢	把	1.00	51.06	51.06	开掘	﹢810m运输大巷
掘进一队	2025-08-11	材料	110707370000003	锚索张拉机具	MQ22-400/63	台	1.00	3400.00	3400.00	开掘	﹢810m运输大巷
掘进一队	2025-08-11	材料	278701010000003	塑料涂覆布正压风筒	FTZSS600*10	米	150.00	16.94	2541.00	开掘	﹢810m运输大巷
掘进一队	2025-08-11	材料	211511230000022	圆钉	70mm（热轧低碳钢）	公斤	15.00	5.13	76.95	开掘	﹢810m运输大巷
掘进一队	2025-08-11	材料	250501010000013	防尘口罩	3M 9002	个	14.00	20.90	292.60	开掘	﹢810m运输大巷
掘进一队	2025-08-11	材料	213109150000012	断线钳	300mm	把	2.00	23.09	46.18	开掘	﹢810m运输大巷
掘进一队	2025-08-11	材料	990562210003689	老虎钳	9寸	个	1.00	34.50	34.50	开掘	﹢810m运输大巷
掘进一队	2025-08-11	材料	541101030030125	耙齿	/	件	1.00	329.08	329.08	开掘	﹢810m运输大巷
掘进一队	2025-08-11	材料	110707170000001	无纵肋螺纹钢式树脂锚杆金属杆体(特殊左旋锚杆)	MSGLW-500/22×2400	套	600.00	61.88	37128.00	开掘	﹢810m运输大巷
掘进一队	2025-08-11	材料	212907010000174	高强硬岩截齿	S135-30-E20	件	20.00	420.00	8400.00	开掘	﹢810m运输大巷
掘进一队	2025-08-11	材料	E30108110000073	煤矿用气动注浆泵	2ZBQ40/11	台	1.00	48000.00	48000.00	开掘	﹢810m运输大巷
掘进一队	2025-08-11	材料	970113000000001	石笔	110*80*40	盒	5.00	1.50	7.50	开掘	﹢810m运输大巷
掘进一队	2025-08-11	材料	541101030030002	进料槽	/	件	1.00	11970.00	11970.00	开掘	﹢810m运输大巷
企管科	2025-08-09	材料	230117670000002	蛇皮管	20mm	米	50.00	3.44	172.00	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	550123090000061	搅拌杆	φ32	件	10.00	32.80	328.00	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	212903130000189	麻花钻杆	Φ28×2400mm	根	78.00	148.75	11602.50	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	230109330000617	高压胶管总成	KJR4-19-46/10000	条	3.00	734.54	2203.62	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	390501010000001	气镐	G10	台	3.00	297.00	891.00	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	210363050000009	煤矿用带式输送机保护装置	KHP168	台	1.00	2894.66	2894.66	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	250101030000013	加厚防尘服	大中小号	套	6.00	144.90	869.40	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	250701070000003	乳胶手套	乳胶	双	18.00	4.92	88.56	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	990143030017911	布袜子	-7912	双	12.00	8.00	96.00	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	210701270000006	头灯	LED	个	6.00	115.00	690.00	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	980121000001064	矿灯带	.	条	6.00	5.00	30.00	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	250903050000004	反光药物高筒工矿靴	25.5#	双	6.00	54.23	325.38	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	E24005040000035	煤矿用锚杆拉力计	LDZ400	台	1.00	3256.64	3256.64	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	212305110000030	轻轨用接头夹板（道夹板）	24Kg/m	件	10.00	37.93	379.30	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	559915010000040	道钉	15kg,18kg,24kg(三产)	公斤	10.00	5.62	56.20	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	110703010000005	卡缆	29υ双	套	3280.00	32.70	107256.00	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	532105110000003	主机总成	P60B型	套	1.00	32376.31	32376.31	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	559915010000041	道夹板	24kg	公斤	16.00	5.56	88.96	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	110507010000004	镀锌铁丝	1.6mm	公斤	75.00	6.14	460.50	开掘	﹢810m运输大巷
掘进一队	2025-08-08	材料	541101030030019	斜井扒斗	/	件	1.00	12180.00	12180.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-07	材料	390115010000018	台钳	/	台	2.00	1235.00	2470.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-07	材料	213313030000001	风动锯条	GJ-11风动锯条（高碳钢）	根	13.00	595.00	7735.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-07	材料	E31302050000061	矿用气动带式锯	JQD-8/1000	台	2.00	6650.00	13300.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-07	材料	560707030030101	千斤顶	/	件	2.00	48700.00	97400.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-07	材料	560707030030103	提升千斤顶	/	件	20.00	1940.00	38800.00	开掘	﹢810m运输大巷
综机机加工车间	2025-08-07	材料	550501390000490	舌板组件	/	件	5.00	3769.27	18846.35	开掘	﹢810m运输大巷
综机机加工车间	2025-08-07	材料	550501390000448	舌板组件	/	件	5.00	2746.90	13734.50	开掘	﹢810m运输大巷
综机机加工车间	2025-08-07	材料	550301190000484	拨链器	ZPZ007.020804	件	5.00	1242.57	6212.85	开掘	﹢810m运输大巷
综机机加工车间	2025-08-07	材料	550501390000447	拨链器	/	件	5.00	3352.08	16760.40	开掘	﹢810m运输大巷
综机机加工车间	2025-08-07	材料	210327010000170	矿用隔爆型双速三相异步电动机	YBSD-315/160-4/8G(3300)	台	1.00	276096.46	276096.46	开掘	﹢810m运输大巷
综机机加工车间	2025-08-07	材料	399901070000018	模具	/	个	14.00	1482.70	20757.80	开掘	﹢810m运输大巷
											
综机机加工车间	2025-08-07	材料	E21009010000352	车床	CD6271/2000	台	1.00	231500.00	231500.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-08-07	材料	E21009010000088	卧式升降台铣床	XA6132	台	1.00	176991.15	176991.15	开掘	+878-810m回风斜巷
综机机加工车间	2025-08-07	材料	990143010005693	砂轮切割机	4000W-380V（铜线圈）	台	1.00	2750.00	2750.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-08-07	材料	990143030018445	道夹板	43kg（8446）	块	20.00	330.00	6600.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-08-07	材料	213719010000004	水平尺	1000mm（45#钢）	把	1.00	21.25	21.25	开掘	+878-810m回风斜巷
综机机加工车间	2025-08-07	材料	250101030000013	加厚防尘服	大中小号	套	12.00	144.90	1738.80	开掘	+878-810m回风斜巷
综机机加工车间	2025-08-07	材料	211501170000005	膨胀螺栓	10×90	条	30.00	0.90	27.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-08-07	材料	210545710000345	配电箱	500×700×200	台	2.00	900.00	1800.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-08-07	材料	990143010005521	绒衣裤	/	条	1.00	58.00	58.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-08-07	材料	211503010000003	普通螺母	14mm	件	100.00	0.14	14.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-08-07	材料	211501010000188	六角螺栓	14×75	件	100.00	0.66	66.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-08-07	材料	230119130000001	尼龙扎丝	250mm	根	500.00	0.02	10.00	开掘	+878-810m回风斜巷
